level,ds_type,chunk_size,pipeline_category,pipeline_base_name,operator_name,row_count,sample_count,skipped_count,rmse,mae,mape,accuracy,actual_time_sum,pred_time_sum
by_pipeline_chunk_size,image,1000.0,mapper-heavy,image_pipeline_1781071560242,,371,371,0,2.8777748650002763,1.7160307694201202,22.734274205534742,77.26572579446525,2657.973,2187.064123392105
by_pipeline_chunk_size,image,100.0,mixed,image_pipeline_1781071560252,,4208,4208,0,0.6484726911883029,0.4103612955323644,22.065601296663353,77.93439870333665,7320.0509999999995,6991.426427125931
by_pipeline_chunk_size,image,200.0,mixed,image_pipeline_1781071560252,,2104,2104,0,0.7644399637734833,0.5718961918621461,26.5506597983407,73.4493402016593,3980.96,3418.0262109041214
by_pipeline_chunk_size,image,500.0,mixed,image_pipeline_1781071560252,,848,848,0,0.7287784923024617,0.5152410010582996,23.734062124268412,76.2659378757316,1658.4810000000002,1466.3338969945908
by_pipeline_chunk_size,image,1000.0,mixed,image_pipeline_1781071560252,,424,424,0,1.320631059415876,0.6009894040665537,22.398420769559593,77.60157923044041,995.367,849.0208775997162
by_pipeline_chunk_size,image,100.0,filter-heavy,image_pipeline_1781071560263,,4208,4208,0,0.43251463116022276,0.2644754828151188,20.004596808537404,79.9954031914626,4903.845,5597.105415821075
by_pipeline_chunk_size,image,200.0,filter-heavy,image_pipeline_1781071560263,,2104,2104,0,0.4041098811799256,0.24529989591524176,17.976490274385934,82.02350972561406,2440.197,2644.8502613306046
by_pipeline_chunk_size,image,500.0,filter-heavy,image_pipeline_1781071560263,,848,848,0,0.457529649704071,0.2526026614960635,17.19414334610539,82.80585665389461,1049.777,1106.3252543210983
by_pipeline_chunk_size,image,1000.0,filter-heavy,image_pipeline_1781071560263,,424,424,0,0.6759771198793152,0.3413085153260321,21.052995385329144,78.94700461467086,621.725,666.5759860277176
by_pipeline_chunk_size,text,100.0,mapper-heavy,text_pipeline_1781071569367,,1600,1600,0,0.38534464575750704,0.3294405183231831,20.88658845224839,79.11341154775161,2809.383,3276.778665781021
by_pipeline_chunk_size,text,200.0,mapper-heavy,text_pipeline_1781071569367,,800,800,0,0.35938528375005696,0.29084533831357956,17.170087912048462,82.82991208795154,1540.504,1739.6626589298248
by_pipeline_chunk_size,text,500.0,mapper-heavy,text_pipeline_1781071569367,,320,320,0,0.4128802140923857,0.3437335974752903,19.219963599887198,80.7800364001128,632.4259999999999,734.6768786907196
by_pipeline_chunk_size,text,1000.0,mapper-heavy,text_pipeline_1781071569367,,160,160,0,0.433353272281422,0.3631087617993355,20.097370602438843,79.90262939756116,317.58900000000006,372.8424379825592
by_pipeline_chunk_size,text,100.0,mixed,text_pipeline_1781071569512,,2000,2000,0,0.4222135552990434,0.24049289656448364,13.65925735141382,86.34074264858619,2758.1749999999997,3158.7790217399597
by_pipeline_chunk_size,text,200.0,mixed,text_pipeline_1781071569512,,1000,1000,0,0.444297249577529,0.24858249231624605,13.778229253216793,86.2217707467832,1379.4920000000002,1564.4169880151749
by_pipeline_chunk_size,text,500.0,mixed,text_pipeline_1781071569512,,400,400,0,0.3879704237875224,0.23253864521980286,13.020541709126537,86.97945829087347,567.9449999999999,635.4516603946686
by_pipeline_chunk_size,text,1000.0,mixed,text_pipeline_1781071569512,,200,200,0,0.33065955288383625,0.2133886982965469,12.242172463504241,87.75782753649575,296.03600000000006,322.47745311260223
by_pipeline_chunk_size,text,100.0,filter-heavy,text_pipeline_1781071569701,,2300,2300,0,0.32084386376897017,0.18563078847180242,7.990528345938225,92.00947165406177,4846.589,4758.7053879499435
by_pipeline_chunk_size,text,200.0,filter-heavy,text_pipeline_1781071569701,,1150,1150,0,0.29363441133181534,0.17467683670209802,7.601046164390493,92.3989538356095,2477.788,2429.2616894245148
by_pipeline_chunk_size,text,500.0,filter-heavy,text_pipeline_1781071569701,,460,460,0,0.2530108286173458,0.15768323984353436,7.236197826176884,92.76380217382311,994.9770000000001,994.5804458856583
by_pipeline_chunk_size,text,1000.0,filter-heavy,text_pipeline_1781071569701,,230,230,0,0.23240393923405525,0.1529652735254039,7.487577261519737,92.51242273848027,493.16999999999996,504.33706545829773
by_operator,audio,,,,audio_add_gaussian_noise_mapper,385,385,0,1.0124018761480824,0.9966204011694177,35.67869854827106,64.32130145172894,1091.671,1475.3698544502258
by_operator,audio,,,,audio_duration_filter,1155,1155,0,1.0969873794216425,0.9552101624360849,30.746389529240638,69.25361047075936,3845.407,4941.9320340156555
by_operator,audio,,,,audio_ffmpeg_wrapped_mapper,770,770,0,2.3416821695136525,2.095259769719607,98.20048849076262,1.7995115092373766,2027.7920000000001,3517.865091562271
by_operator,audio,,,,audio_nmf_snr_filter,1155,1155,0,23.01098294349,21.166559389241534,93.42726250620096,6.572737493799039,50253.034,71841.25477218628
by_operator,audio,,,,audio_size_filter,770,770,0,0.31305223986517605,0.30377611514747915,13.65872044749301,86.34127955250699,1709.839,1478.1356136798859
by_operator,image,,,,image_aspect_ratio_filter,2844,2844,0,0.6846566511339057,0.5027275913871626,19.29026507124511,80.7097349287549,6713.539999999999,5377.42040014267
by_operator,image,,,,image_blur_mapper,948,948,0,0.22314094823022995,0.1738847579805157,17.21933481023235,82.78066518976765,921.825,908.2972458600998
by_operator,image,,,,image_deduplicator,2844,2844,0,1.3294838300679388,1.2832387606182178,78.4039986617927,21.5960013382073,4700.991,8350.021433353424
by_operator,image,,,,image_detection_yolo_mapper,948,948,0,0.2410414528911928,0.23366168559251457,25.270225916841603,74.72977408315839,870.5619999999999,654.3443003892899
by_operator,image,,,,image_face_count_filter,948,948,0,0.07108361842164133,0.05907578121458931,7.2813291591596485,92.71867084084035,751.713,702.1232511997223
