ds_type,pipeline_base_name,pipeline_category,chunk_size,operator_index,operator_name,chunk_parts,chunk_actual_time_sum,chunk_actual_time_mean,chunk_actual_time_median,chunk_actual_time_min,chunk_actual_time_max,chunk_input_count_sum,chunk_output_count_sum,chunk_input_count_mean,chunk_output_count_mean,full_pipeline_name,full_scale_token,full_scale_value,full_actual_time,full_input_count,full_output_count,chunk_minus_full_time,chunk_sum_to_full_ratio,chunk_sum_relative_error,chunk_sum_accuracy,chunk_input_coverage_ratio,chunk_output_coverage_ratio,avg_chunk_time_to_full_ratio,estimated_repeated_overhead,estimated_repeated_overhead_per_chunk,reason
audio,audio_pipeline_1781071552263,mapper-heavy,200,3,audio_ffmpeg_wrapped_mapper,107,347.109,3.2440093457943924,3.053,2.221,3.767,12415.0,12415.0,116.02803738317758,116.02803738317758,audio_pipeline_1781071552263_8G,8G,8192.0,262.831,12415.0,12415.0,84.27799999999996,1.3206547172898173,0.32065471728981726,67.93452827101828,1.0,1.0,0.012342567451306703,84.27799999999996,0.7876448598130837,chunk_sum与full相对接近；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552263,mapper-heavy,500,1,audio_nmf_snr_filter,43,5188.408,120.6606511627907,119.864,77.92,133.575,21300.0,14373.0,495.3488372093023,334.25581395348837,audio_pipeline_1781071552263_8G,8G,8192.0,4726.252,21300.0,14373.0,462.15599999999995,1.0977848832436357,0.09778488324363574,90.22151167563642,1.0,1.0,0.025529881005665948,462.15599999999995,10.747813953488372,chunk_sum与full相对接近；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552263,mapper-heavy,500,2,audio_duration_filter,43,133.364,3.1014883720930233,2.92,2.716,3.583,14373.0,12415.0,334.25581395348837,288.72093023255815,audio_pipeline_1781071552263_8G,8G,8192.0,31.131,14373.0,12415.0,102.233,4.283961324724551,3.2839613247245514,-228.39613247245512,1.0,1.0,0.09962700755173375,102.233,2.377511627906977,chunk_sum大于full，存在重复调度/I/O/初始化开销
audio,audio_pipeline_1781071552263,mapper-heavy,500,3,audio_ffmpeg_wrapped_mapper,43,293.863,6.834023255813953,7.155,4.407,7.405,12415.0,12415.0,288.72093023255815,288.72093023255815,audio_pipeline_1781071552263_8G,8G,8192.0,262.831,12415.0,12415.0,31.031999999999982,1.118068264398035,0.11806826439803517,88.19317356019648,1.0,1.0,0.02600158754414035,31.031999999999982,0.7216744186046508,chunk_sum与full相对接近；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552263,mapper-heavy,1000,1,audio_nmf_snr_filter,22,5129.015,233.13704545454547,239.286,75.377,252.646,21300.0,14373.0,968.1818181818181,653.3181818181819,audio_pipeline_1781071552263_8G,8G,8192.0,4726.252,21300.0,14373.0,402.7629999999999,1.0852182659748146,0.08521826597481469,91.47817340251854,1.0,1.0,0.04932810299885521,402.7629999999999,18.307409090909086,chunk_sum与full相对接近；可能包含模型加载/外部库初始化/重型计算开销
audio,audio_pipeline_1781071552263,mapper-heavy,1000,2,audio_duration_filter,22,81.199,3.6908636363636362,3.6045,2.872,4.208,14373.0,12415.0,653.3181818181819,564.3181818181819,audio_pipeline_1781071552263_8G,8G,8192.0,31.131,14373.0,12415.0,50.068,2.608300407953487,1.6083004079534868,-60.83004079534868,1.0,1.0,0.11855910945243121,50.068,2.2758181818181815,chunk_sum大于full，存在重复调度/I/O/初始化开销
audio,audio_pipeline_1781071552263,mapper-heavy,1000,3,audio_ffmpeg_wrapped_mapper,22,274.156,12.461636363636364,12.8205,4.417,14.235,12415.0,12415.0,564.3181818181819,564.3181818181819,audio_pipeline_1781071552263_8G,8G,8192.0,262.831,12415.0,12415.0,11.324999999999989,1.0430885245652148,0.043088524565214864,95.69114754347851,1.0,1.0,0.047413114752964315,11.324999999999989,0.5147727272727267,chunk_sum与full相对接近；可能包含模型加载/外部库初始化/重型计算开销
image,image_pipeline_1781071560242,mapper-heavy,100,1,image_deduplicator,526,889.928,1.6918783269961977,1.692,1.427,2.529,52599.0,52599.0,99.99809885931559,99.99809885931559,image_pipeline_1781071560242_8G,8G,8192.0,39.064,52599.0,52591.0,850.864,22.78128199877125,21.78128199877125,-2078.1281998771246,1.0,1.0001521172824248,0.04331042205089591,850.864,1.6176121673003803,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次
image,image_pipeline_1781071560242,mapper-heavy,100,2,image_aspect_ratio_filter,526,1784.614,3.3928022813688212,3.1825,2.806,4.524,52599.0,44274.0,99.99809885931559,84.17110266159696,image_pipeline_1781071560242_8G,8G,8192.0,22.365,52591.0,44268.0,1762.249,79.7949474625531,78.7949474625531,-7779.49474625531,1.0001521172824248,1.0001355380862023,0.15170142103146977,1762.249,3.3502832699619773,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次
image,image_pipeline_1781071560242,mapper-heavy,100,3,image_shape_filter,526,1316.758,2.503342205323194,2.3985000000000003,2.042,3.195,44274.0,376.0,84.17110266159696,0.714828897338403,image_pipeline_1781071560242_8G,8G,8192.0,14.777,44268.0,376.0,1301.981,89.10861473912162,88.1086147391216,-8710.86147391216,1.0001355380862023,1.0,0.16940801281201828,1301.981,2.475249049429658,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次
image,image_pipeline_1781071560242,mapper-heavy,100,4,image_segment_mapper,526,1818.114,3.456490494296578,2.1189999999999998,0.802,15.621,376.0,376.0,0.714828897338403,0.714828897338403,image_pipeline_1781071560242_8G,8G,8192.0,31.207,376.0,376.0,1786.907,58.25981350338065,57.25981350338065,-5625.981350338065,1.0,1.0,0.11076010171745371,1786.907,3.3971615969581745,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次；可能包含模型加载/外部库初始化/重型计算开销
image,image_pipeline_1781071560242,mapper-heavy,100,5,image_remove_background_mapper,526,1113.425,2.1167775665399238,2.7855,0.826,4.305,376.0,376.0,0.714828897338403,0.714828897338403,image_pipeline_1781071560242_8G,8G,8192.0,61.977,376.0,376.0,1051.4479999999999,17.96513222647111,16.96513222647111,-1596.513222647111,1.0,1.0,0.034154243776561045,1051.4479999999999,1.998950570342205,chunk_sum远大于full，重复固定开销/初始化开销很明显；chunk_size较小，固定开销占比更高；chunk数量多，固定开销被重复计入多次；可能包含模型加载/外部库初始化/重型计算开销
