ds_type,pipeline_category,chunk_size,pipeline_count,operator_count,chunk_parts,full_actual_time,full_pred_time,chunk_actual_time,chunk_pred_time,chunk_pred_abs_error,chunk_actual_abs_error,full_pred_abs_error,chunk_pred_mape,chunk_actual_mape,full_pred_mape,chunk_pred_accuracy,chunk_actual_accuracy,full_pred_accuracy
image,mixed,200,1,8,2104,82.44,76.02034497261047,3980.96,3418.0262109041214,3335.5862109041213,3898.52,6.419655027389524,4046.077402843427,4728.918000970402,7.787063352000878,-3946.077402843427,-4628.918000970402,92.21293664799913
image,mixed,500,1,8,848,82.44,76.02034497261047,1658.481,1466.3338969945908,1383.8938969945907,1576.041,6.419655027389524,1678.667997324831,1911.7430858806404,7.787063352000878,-1578.667997324831,-1811.7430858806404,92.21293664799913
image,mixed,1000,1,8,424,82.44,76.02034497261047,995.367,849.0208775997162,766.5808775997161,912.9269999999999,6.419655027389524,929.8652081510385,1107.3835516739446,7.787063352000878,-829.8652081510385,-1007.3835516739446,92.21293664799913
text,filter-heavy,100,1,23,2300,56.175,58.438472509384155,4846.589,4758.7053879499435,4702.530387949943,4790.414,2.263472509384158,8371.215643880629,8527.661771250558,4.029323559206334,-8271.215643880629,-8427.661771250558,95.97067644079367
text,filter-heavy,200,1,23,1150,56.175,58.438472509384155,2477.788,2429.2616894245148,2373.0866894245146,2421.613,2.263472509384158,4224.453385713421,4310.837561192701,4.029323559206334,-4124.453385713421,-4210.837561192701,95.97067644079367
text,filter-heavy,500,1,23,460,56.175,58.438472509384155,994.977,994.5804458856583,938.4054458856583,938.802,2.263472509384158,1670.5036864898236,1671.2096128170895,4.029323559206334,-1570.5036864898236,-1571.2096128170895,95.97067644079367
text,filter-heavy,1000,1,23,230,56.175,58.438472509384155,493.17,504.33706545829773,448.1620654582977,436.995,2.263472509384158,797.796289200352,777.917222963952,4.029323559206334,-697.796289200352,-677.917222963952,95.97067644079367
text,mapper-heavy,100,1,16,1600,38.453,41.66830849647522,2809.3830000000003,3276.778665781021,3238.325665781021,2770.9300000000003,3.2153084964752168,8421.516307650953,7206.017735937378,8.361658378995699,-8321.516307650953,-7106.017735937378,91.6383416210043
text,mapper-heavy,200,1,16,800,38.453,41.66830849647522,1540.504,1739.6626589298248,1701.2096589298249,1502.051,3.2153084964752168,4424.127269471367,3906.199776350349,8.361658378995699,-4324.127269471367,-3806.199776350349,91.6383416210043
text,mapper-heavy,500,1,16,320,38.453,41.66830849647522,632.426,734.6768786907196,696.2238786907196,593.9730000000001,3.2153084964752168,1810.5840342514746,1544.6727173432503,8.361658378995699,-1710.5840342514746,-1444.6727173432503,91.6383416210043
text,mapper-heavy,1000,1,16,160,38.453,41.66830849647522,317.589,372.8424379825592,334.38943798255923,279.13599999999997,3.2153084964752168,869.6055911958995,725.9147530751825,8.361658378995699,-769.6055911958995,-625.9147530751825,91.6383416210043
text,mixed,100,1,20,2000,50.555,40.409984827041626,2758.175,3158.7790217399597,3108.22402173996,2707.6200000000003,10.145015172958374,6148.202990287726,5355.790722974979,20.067283499076993,-6048.202990287726,-5255.790722974979,79.93271650092301
text,mixed,200,1,20,1000,50.555,40.409984827041626,1379.492,1564.4169880151749,1513.8619880151748,1328.937,10.145015172958374,2994.485190416724,2628.6954801701113,20.067283499076993,-2894.485190416724,-2528.6954801701113,79.93271650092301
text,mixed,500,1,20,400,50.555,40.409984827041626,567.945,635.4516603946686,584.8966603946686,517.3900000000001,10.145015172958374,1156.951162881354,1023.4200375828309,20.067283499076993,-1056.951162881354,-923.4200375828309,79.93271650092301
text,mixed,1000,1,20,200,50.555,40.409984827041626,296.036,322.47745311260223,271.9224531126022,245.481,10.145015172958374,537.8744992831614,485.5721491444961,20.067283499076993,-437.8744992831614,-385.5721491444961,79.93271650092301
