level,operator_rows,full_actual_time_sum,chunk_actual_time_sum,chunk_sum_to_full_ratio,chunk_sum_mape_like,chunk_sum_accuracy,mean_operator_relative_error,median_operator_relative_error,estimated_repeated_overhead_sum,ds_type,chunk_size,pipeline_category,pipeline_base_name
by_pipeline_chunk_size,7,202.44000000000003,4349.705,21.486391029440817,2048.639102944082,-1948.639102944082,2528.7120061699543,1897.5840833728093,4147.264999999999,image,500,mapper-heavy,image_pipeline_1781071560242
by_pipeline_chunk_size,7,202.44000000000003,2657.973,13.12968286899822,1212.968286899822,-1112.968286899822,1526.071476984533,969.0735602625704,2455.5330000000004,image,1000,mapper-heavy,image_pipeline_1781071560242
by_pipeline_chunk_size,8,82.44,7320.0509999999995,88.7924672489083,8779.246724890829,-8679.246724890829,18362.577780463973,11044.833190197081,7237.611000000001,image,100,mixed,image_pipeline_1781071560252
by_pipeline_chunk_size,8,82.44,3980.9599999999996,48.289180009704026,4728.918000970402,-4628.918000970402,9717.502409593788,6095.2518270071805,3898.5199999999995,image,200,mixed,image_pipeline_1781071560252
by_pipeline_chunk_size,8,82.44,1658.4810000000002,20.117430858806408,1911.7430858806408,-1811.7430858806408,3882.215137361554,2513.2117251801596,1576.041,image,500,mixed,image_pipeline_1781071560252
by_pipeline_chunk_size,8,82.44,995.367,12.073835516739447,1107.3835516739446,-1007.3835516739446,2127.150643495872,1398.7057808511017,912.9269999999999,image,1000,mixed,image_pipeline_1781071560252
by_pipeline_chunk_size,8,55.566,4903.844999999999,88.25261850772053,8725.261850772054,-8625.261850772054,24284.136839607494,14436.238623876448,4848.279,image,100,filter-heavy,image_pipeline_1781071560263
by_pipeline_chunk_size,8,55.566,2440.197,43.91528992549401,4291.528992549401,-4191.528992549401,11855.021123056527,7067.822329982336,2384.631,image,200,filter-heavy,image_pipeline_1781071560263
by_pipeline_chunk_size,8,55.566,1049.777,18.892434222366195,1789.2434222366194,-1689.2434222366194,4813.058620815288,2909.4629704498475,994.211,image,500,filter-heavy,image_pipeline_1781071560263
by_pipeline_chunk_size,8,55.566,621.725,11.188946478062125,1018.8946478062123,-918.8946478062123,2651.9813839334815,1691.4687891975166,566.159,image,1000,filter-heavy,image_pipeline_1781071560263
by_pipeline_chunk_size,16,38.452999999999996,2809.3830000000003,73.0601773593738,7206.017735937379,-7106.017735937379,7648.136362632309,7389.206023021122,2770.9300000000003,text,100,mapper-heavy,text_pipeline_1781071569367
by_pipeline_chunk_size,16,38.452999999999996,1540.504,40.0619977635035,3906.19977635035,-3806.19977635035,4058.0565069858894,4699.660471855934,1502.051,text,200,mapper-heavy,text_pipeline_1781071569367
by_pipeline_chunk_size,16,38.452999999999996,632.426,16.446727173432507,1544.6727173432505,-1444.6727173432505,1600.6133873319995,1853.07117915344,593.9730000000001,text,500,mapper-heavy,text_pipeline_1781071569367
by_pipeline_chunk_size,16,38.452999999999996,317.58899999999994,8.259147530751827,725.9147530751827,-625.9147530751827,752.0194100812804,873.1103205355458,279.13599999999997,text,1000,mapper-heavy,text_pipeline_1781071569367
by_pipeline_chunk_size,20,50.55499999999999,2758.1749999999993,54.55790722974977,5355.790722974977,-5255.790722974977,8404.11599598815,9564.784802656963,2707.6199999999994,text,100,mixed,text_pipeline_1781071569512
by_pipeline_chunk_size,20,50.55499999999999,1379.492,27.28695480170112,2628.695480170112,-2528.695480170112,4146.966918099625,4752.3999076608125,1328.937,text,200,mixed,text_pipeline_1781071569512
by_pipeline_chunk_size,20,50.55499999999999,567.9450000000002,11.23420037582831,1023.4200375828312,-923.4200375828312,1610.6839126805717,1831.3545754198713,517.39,text,500,mixed,text_pipeline_1781071569512
by_pipeline_chunk_size,20,50.55499999999999,296.036,5.855721491444962,485.5721491444961,-385.5721491444961,764.9655772527157,874.6812645691557,245.48100000000002,text,1000,mixed,text_pipeline_1781071569512
by_pipeline_chunk_size,23,56.175000000000004,4846.589,86.27661771250555,8527.661771250556,-8427.661771250556,9016.619904057437,9855.156746933213,4790.414000000001,text,100,filter-heavy,text_pipeline_1781071569701
by_pipeline_chunk_size,23,56.175000000000004,2477.787999999999,44.108375611926995,4310.837561192699,-4210.837561192699,4512.408981476947,4891.368680641183,2421.613,text,200,filter-heavy,text_pipeline_1781071569701
by_pipeline_chunk_size,23,56.175000000000004,994.9770000000001,17.712096128170895,1671.2096128170895,-1571.2096128170895,1748.4274986523842,1891.0040890504315,938.8019999999998,text,500,filter-heavy,text_pipeline_1781071569701
by_pipeline_chunk_size,23,56.175000000000004,493.17,8.779172229639519,777.9172229639519,-677.9172229639519,820.4922220898845,903.9711191335741,436.995,text,1000,filter-heavy,text_pipeline_1781071569701
