level,ds_type,chunk_size,pipeline_category,pipeline_base_name,operator_name,row_count,sample_count,skipped_count,rmse,mae,mape,accuracy,actual_time_sum,pred_time_sum
by_operator,image,,,,image_size_filter,1896,1896,0,0.7665963279470378,0.5726860962417055,17.72123624989804,82.27876375010196,5373.8679999999995,4534.764677524567
by_operator,image,,,,image_tagging_mapper,1896,1896,0,2.0523575538698164,1.0573936739802863,20.779670068037525,79.22032993196248,9563.406,8071.209417581558
by_operator,text,,,,alphanumeric_filter,360,360,0,0.30870143531194655,0.23907718039353684,15.382652421464398,84.6173475785356,811.0660000000001,867.9486848115921
by_operator,text,,,,average_line_length_filter,180,180,0,0.06840239374890808,0.05925486058129205,7.43540405857328,92.56459594142672,146.04899999999998,156.4887993335724
by_operator,text,,,,character_repetition_filter,180,180,0,0.6704009425030525,0.5875937998029921,14.539118987323162,85.46088101267684,709.5060000000001,610.8131484985352
by_operator,text,,,,clean_copyright_mapper,540,540,0,0.5811203801648862,0.5375642372343276,33.24909878182542,66.75090121817459,944.077,1234.0260281562805
by_operator,text,,,,clean_email_mapper,360,360,0,0.439282033660926,0.41963651431931387,27.651067534338193,72.3489324656618,548.3,699.369145154953
by_operator,text,,,,clean_ip_mapper,540,540,0,0.4866409556328888,0.43640421444928207,27.271984424584534,72.72801557541547,943.9590000000001,1178.6510262489319
by_operator,text,,,,clean_links_mapper,540,540,0,1.4470915463534686,1.4251801998420996,84.75384422607542,15.246155773924585,953.577,1723.0321879386902
by_operator,text,,,,document_simhash_deduplicator,540,540,0,0.3218889358242427,0.22271925053773106,22.345022831744537,77.65497716825547,531.793,583.7060527801514
by_operator,text,,,,fix_unicode_mapper,360,360,0,0.5010977175216997,0.4587964232497746,26.621903507014828,73.37809649298518,679.285,844.4517123699188
by_operator,text,,,,flagged_words_filter,180,180,0,0.07335331272215584,0.065771605152554,7.988427779425936,92.01157222057407,146.02100000000002,134.40322136878967
by_operator,text,,,,language_id_score_filter,360,360,0,0.38295333341028737,0.2639523280647066,15.954225581859749,84.04577441814025,575.319,621.8476425409317
by_operator,text,,,,maximum_line_length_filter,360,360,0,0.5198361471470402,0.3642594330655204,13.896492525152624,86.10350747484738,776.992,650.5110338926315
by_operator,text,,,,perplexity_filter,180,180,0,0.05788293887139212,0.04897365479469301,6.1217183737504195,93.87828162624957,141.441,133.1877225637436
by_operator,text,,,,punctuation_normalization_mapper,540,540,0,0.43256612780099657,0.3727879492936311,21.767360084011976,78.23263991598802,1026.704,1196.3665776252747
by_operator,text,,,,remove_long_words_mapper,360,360,0,0.4191154495632649,0.3656640446715885,22.15798573788517,77.84201426211483,667.1589999999999,798.3884060382843
by_operator,text,,,,remove_repeat_sentences_mapper,360,360,0,0.3995508731347203,0.3310181249989404,20.166728718525384,79.83327128147462,670.406,786.4733002185822
by_operator,text,,,,remove_specific_chars_mapper,360,360,0,0.44198802313195584,0.39167576026386686,23.508637963732554,76.49136203626745,668.434,809.1714465618134
by_operator,text,,,,remove_table_text_mapper,360,360,0,0.8235708960509195,0.7827377775775062,45.528767045106726,54.471232954893274,668.77,950.5555999279022
by_operator,text,,,,remove_words_with_incorrect_substrings_mapper,540,540,0,0.5838070059774255,0.4900748723206696,27.687977310107698,72.3120226898923,1075.402,1333.088330745697
by_operator,text,,,,replace_content_mapper,180,180,0,0.6486965280823624,0.5755860065460205,36.32343545628631,63.67656454371369,315.499,418.40383291244507
by_operator,text,,,,sentence_split_mapper,360,360,0,0.5782172322368411,0.5475298082881503,31.639316404132863,68.36068359586713,670.173,867.2837309837341
by_operator,text,,,,stopwords_filter,180,180,0,0.10617120458461951,0.10073390411800807,12.35845598814617,87.64154401185382,145.464,127.33189725875854
by_operator,text,,,,text_action_filter,180,180,0,0.07996023463255054,0.07206276047494678,9.01846215433743,90.98153784566257,141.774,128.85175573825836
by_operator,text,,,,text_entity_dependency_filter,360,360,0,0.036035945654150116,0.02899124089082081,3.6174309425206137,96.38256905747939,288.137,288.27510011196136
by_operator,text,,,,text_length_filter,360,360,0,1.0646277706510687,0.9205747907373639,19.389348026489305,80.6106519735107,1613.971,1287.7379734516144
by_operator,text,,,,token_num_filter,180,180,0,0.07443877336032673,0.06858380443784927,8.521865271308467,91.47813472869153,143.39300000000003,131.08138227462769
by_operator,text,,,,whitespace_normalization_mapper,540,540,0,0.39787930427446483,0.3198263009530527,19.167035560463976,80.83296443953603,1040.554,1175.6003217697144
