                                                                 importance    stddev       p_value  n      p99_high       p99_low
profile_text_token_count_approx_chars_div_4_p5                 1.645034e-04  0.000017  1.262800e-05  5  1.989274e-04  1.300794e-04
op_words_num_filter_tokenization                               1.640968e-04  0.000056  1.397045e-03  5  2.792785e-04  4.891519e-05
op_type_replace_content_mapper                                 1.579280e-04  0.000013  5.382388e-06  5  1.845990e-04  1.312571e-04
profile_text_token_count_approx_chars_div_4_mean               1.504210e-04  0.000018  2.552409e-05  5  1.880073e-04  1.128346e-04
profile_image_height_px_p75                                    1.494251e-04  0.000011  3.366942e-06  5  1.718570e-04  1.269933e-04
profile_text_word_count_p5                                     1.475836e-04  0.000011  3.959837e-06  5  1.706593e-04  1.245080e-04
profile_audio_file_size_kb_p5                                  1.463379e-04  0.000024  8.245486e-05  5  1.955530e-04  9.712286e-05
profile_audio_duration_sec_p5                                  1.439307e-04  0.000015  1.272575e-05  5  1.741082e-04  1.137532e-04
profile_audio_file_size_kb_p10                                 1.340182e-04  0.000022  8.830213e-05  5  1.798828e-04  8.815354e-05
profile_audio_file_size_kb_p75                                 1.301098e-04  0.000011  6.069449e-06  5  1.527559e-04  1.074638e-04
profile_text_token_count_approx_chars_div_4_min                1.224304e-04  0.000014  2.007323e-05  5  1.512234e-04  9.363742e-05
op_stopwords_filter_lang                                       1.118457e-04  0.000026  3.244193e-04  5  1.652898e-04  5.840156e-05
profile_text_word_count_max                                    1.053290e-04  0.000016  6.381543e-05  5  1.385188e-04  7.213929e-05
profile_image_height_px_mean                                   1.015462e-04  0.000008  4.465192e-06  5  1.179096e-04  8.518288e-05
profile_text_word_count_p50                                    1.009948e-04  0.000012  2.213804e-05  5  1.253404e-04  7.664912e-05
profile_text_sentence_count_p25                                9.427352e-05  0.000022  3.489386e-04  5  1.401795e-04  4.836758e-05
profile_text_token_count_approx_chars_div_4_max                9.357401e-05  0.000027  7.430974e-04  5  1.490920e-04  3.805601e-05
op_words_num_filter_batch_size                                 8.343408e-05  0.000020  3.414501e-04  5  1.238340e-04  4.303418e-05
profile_text_max_line_length_p5                                8.084168e-05  0.000006  4.134335e-06  5  9.361936e-05  6.806401e-05
profile_image_file_size_kb_max                                 7.752839e-05  0.000023  8.115905e-04  5  1.246099e-04  3.044692e-05
profile_text_word_count_p90                                    7.719449e-05  0.000024  1.014340e-03  5  1.269297e-04  2.745925e-05
profile_text_sentence_count_max                                7.698851e-05  0.000005  2.572524e-06  5  8.779168e-05  6.618535e-05
op_special_characters_filter_min_ratio                         6.687175e-05  0.000019  6.791441e-04  5  1.056177e-04  2.812580e-05
profile_text_max_line_length_mean                              6.367692e-05  0.000005  4.045435e-06  5  7.368680e-05  5.366703e-05
profile_text_word_count_p95                                    5.964403e-05  0.000010  8.278272e-05  5  7.972324e-05  3.956482e-05
op_type_fix_unicode_mapper                                     5.918003e-05  0.000015  4.318147e-04  5  8.963782e-05  2.872224e-05
op_replace_content_mapper_repl                                 5.912927e-05  0.000007  2.835274e-05  5  7.430152e-05  4.395701e-05
op_word_repetition_filter_min_ratio                            5.111105e-05  0.000014  6.881088e-04  5  8.082750e-05  2.139459e-05
profile_text_sentence_count_p75                                5.050887e-05  0.000032  1.220881e-02  5  1.165459e-04 -1.552820e-05
op_type_image_aspect_ratio_filter                              4.972582e-05  0.000026  6.575345e-03  5  1.035857e-04 -4.134063e-06
profile_text_sentence_count_p95                                4.733238e-05  0.000009  1.540461e-04  5  6.600371e-05  2.866106e-05
profile_image_height_px_p10                                    4.641851e-05  0.000015  1.216293e-03  5  7.781061e-05  1.502642e-05
op_special_characters_filter_max_ratio                         4.503913e-05  0.000013  6.827378e-04  5  7.117137e-05  1.890689e-05
profile_text_char_length_p25                                   4.240541e-05  0.000006  5.232209e-05  5  5.511107e-05  2.969974e-05
op_document_simhash_deduplicator_ignore_pattern                4.013919e-05  0.000006  6.952112e-05  5  5.306537e-05  2.721301e-05
profile_text_sentence_count_min                                3.962538e-05  0.000009  3.152332e-04  5  5.841963e-05  2.083114e-05
op_type_text_chunk_mapper                                      3.937362e-05  0.000009  3.310923e-04  5  5.828730e-05  2.045994e-05
profile_text_char_length_p10                                   3.609725e-05  0.000007  1.775777e-04  5  5.086504e-05  2.132946e-05
op_perplexity_filter_lang                                      3.571159e-05  0.000010  6.057450e-04  5  5.579065e-05  1.563253e-05
profile_text_max_line_length_p50                               3.201761e-05  0.000010  1.129494e-03  5  5.324607e-05  1.078915e-05
profile_text_sentence_count_p50                                3.093222e-05  0.000008  5.400549e-04  5  4.780882e-05  1.405561e-05
op_type_maximum_line_length_filter                             3.087172e-05  0.000007  2.630825e-04  5  4.484561e-05  1.689782e-05
op_type_image_face_ratio_filter                                3.062898e-05  0.000006  1.619616e-04  5  4.286735e-05  1.839060e-05
profile_text_token_count_approx_chars_div_4_p95                2.992888e-05  0.000017  7.742516e-03  5  6.395856e-05 -4.100801e-06
profile_text_max_line_length_p10                               2.790136e-05  0.000005  1.680019e-04  5  3.915499e-05  1.664773e-05
profile_text_char_length_p50                                   2.784280e-05  0.000014  5.871798e-03  5  5.701518e-05 -1.329576e-06
profile_text_char_length_p95                                   2.674039e-05  0.000002  7.824483e-06  5  3.170137e-05  2.177942e-05
profile_text_sentence_count_p90                                2.437618e-05  0.000005  1.519183e-04  5  3.395772e-05  1.479463e-05
profile_text_max_line_length_p90                               2.399668e-05  0.000010  3.340252e-03  5  4.539238e-05  2.600983e-06
profile_text_word_count_p10                                    2.369869e-05  0.000007  7.979065e-04  5  3.802591e-05  9.371480e-06
op_flagged_words_filter_lang                                   2.344339e-05  0.000003  2.097966e-05  5  2.901852e-05  1.786825e-05
op_type_text_length_filter                                     2.180753e-05  0.000010  4.827260e-03  5  4.339532e-05  2.197456e-07
op_type_remove_long_words_mapper                               2.120524e-05  0.000012  9.515652e-03  5  4.686779e-05 -4.457314e-06
profile_text_token_count_approx_chars_div_4_p50                2.048517e-05  0.000007  1.209051e-03  5  3.431682e-05  6.653513e-06
profile_text_token_count_approx_chars_div_4_p10                2.028718e-05  0.000006  7.676251e-04  5  3.242726e-05  8.147108e-06
op_type_remove_repeat_sentences_mapper                         1.933954e-05  0.000004  1.796750e-04  5  2.727543e-05  1.140364e-05
profile_text_token_count_approx_chars_div_4_p90                1.722774e-05  0.000012  1.835542e-02  5  4.292894e-05 -8.473459e-06
profile_text_word_count_mean                                   1.709529e-05  0.000005  7.836118e-04  5  2.738113e-05  6.809451e-06
op_type_language_id_score_filter                               1.621231e-05  0.000007  4.168278e-03  5  3.160112e-05  8.235031e-07
profile_text_word_count_p75                                    1.615088e-05  0.000004  3.233776e-04  5  2.386196e-05  8.439800e-06
op_character_repetition_filter_min_ratio                       1.597812e-05  0.000004  5.617384e-04  5  2.478607e-05  7.170175e-06
profile_text_max_line_length_p25                               1.528628e-05  0.000002  2.014114e-05  5  1.888435e-05  1.168822e-05
profile_image_aspect_ratio_w_over_h_p5                         1.408843e-05  0.000004  8.380322e-04  5  2.271691e-05  5.459941e-06
profile_text_token_count_approx_chars_div_4_p75                1.399547e-05  0.000004  8.313991e-04  5  2.254901e-05  5.441919e-06
profile_text_char_length_p75                                   1.294770e-05  0.000009  1.432707e-02  5  3.075951e-05 -4.864109e-06
op_type_audio_duration_filter                                  1.271415e-05  0.000008  1.059182e-02  5  2.861626e-05 -3.187965e-06
op_type_special_characters_filter                              1.250266e-05  0.000005  2.939142e-03  5  2.325843e-05  1.746889e-06
profile_text_max_line_length_p75                               1.206001e-05  0.000002  6.611348e-05  5  1.589447e-05  8.225542e-06
op_type_average_line_length_filter                             9.658467e-06  0.000002  2.413498e-04  5  1.393419e-05  5.382740e-06
op_type_word_repetition_filter                                 6.223751e-06  0.000002  1.423789e-03  5  1.061464e-05  1.832861e-06
op_type_words_num_filter                                       4.338735e-06  0.000002  6.328470e-03  5  8.985527e-06 -3.080564e-07
op_type_alphanumeric_filter                                    3.160642e-06  0.000004  9.092342e-02  5  1.217722e-05 -5.855931e-06
op_type_character_repetition_filter                            2.595434e-06  0.000002  1.168166e-02  5  5.942109e-06 -7.512422e-07
op_remove_words_with_incorrect_substrings_mapper_lang          9.199717e-08  0.000009  4.913650e-01  5  1.848440e-05 -1.830041e-05
profile_text_max_line_length_p95                              -3.002590e-06  0.000002  9.824137e-01  5  1.413562e-06 -7.418741e-06
profile_audio_channels_max                                    -6.058267e-06  0.000003  9.961171e-01  5 -4.224027e-07 -1.169413e-05
